Temperature Precipitation Elevation Longitude Latitude
0.07 4.898979 2.156 -109.33 37.87
0.25 17.49286 2.464 -107.65 37.38
0.02 12.04159 2.561 -106.657 36.956
-0.02 13.92839 1.806 -108.08 40.52
-0.22 12.84523 2.652 -106.969 40.848
0.79 12.56981 1.552 -104.02 37.63
0.18 20.71232 2.332 -107.58 37.37
0.53 9.64365 0.903 -101.53 40.05
-0.49 14.56022 3.384 -105.87 39.646
0.48 7.141428 1.115 -101.7 39.37
0.73 21.26029 1.214 -102.28 37.4
-0.28 17.08801 2.707 -106.67 40.08
0.13 13.92839 3.003 -105.341 36.699
-0.06 13 2.561 -106.781 40.534
0.52 13.11488 1.409 -108.58 39.07
0.11 11.13553 1.976 -109.03 37.82
-0.13 16.58312 2.485 -107.167 41.117
-0.1 3.872983 2.379 -107.17 38.47
0.65 9.899495 1.498 -104.65 38.18
-0.73 17.05872 3.024 -107.9667 41.15
0.08 16.12452 3.232 -105.25 37
0.45 2.236068 1.841 -109.48 37.62
-0.16 11 2.471 -106.27 40.73
-0.02 15.96872 3.116 -105.122 37.214
-0.44 17.37815 2.705 -106.97 38.87
0.45 26.13427 2.158 -104.87 39.1
0.41 9.949874 2.074 -106.73 36.6
0.26 11.31371 2.396 -105.48 38.13
0.88 4.898979 1.326 -102.97 36.9
0.22 11.95826 2.583 -105.28 36.62
0.49 7 1.51 -108.73 36.77
0.44 3.605551 1.028 -101.38 39.78
-0.04 3.464102 2.377 -107.47 40.03
0.05 10.44031 2.901 -105.18 38.75
0.34 11.40175 1.884 -107.58 38.85
0.23 10.48809 1.833 -104.65 41.15
0.1 24.47448 1.982 -106.83 39.67
-0.25 11.83216 3.152 -107.294 40.108
-0.38 13.19091 3.098 -106.953 38.894
0.14 9.380832 2.475 -105.53 37.72
0.62 3.162278 1.611 -105 39.75
-0.06 13.74773 1.903 -107.65 41.03
0.56 19.20937 2.135 -105.32 39.63
0.43 15.45962 1.695 -103.7 39.18
0.91 2 1.57 -103.32 37.45
-0.11 13.30413 1.61 -108.8 40.08
-0.26 26.92582 2.318 -106.13 40.05
0.24 13.19091 1.418 -104.7 40.42
0.06 9.327379 1.903 -107.9 40.03
-0.27 16.43168 2.866 -106.158 39.718
0.22 3.162278 2.156 -109.33 37.87
0.51 3.741657 2.464 -107.65 37.38
0.36 1 2.561 -106.657 36.956
0.25 3.464102 1.806 -108.08 40.52
0.07 0 2.652 -106.969 40.848
0.8 2.44949 1.552 -104.02 37.63
0.37 3.464102 2.332 -107.58 37.37
0.74 7 0.903 -101.53 40.05
-0.33 5.09902 3.384 -105.87 39.646
0.62 9.486833 1.115 -101.7 39.37
0.88 9.433981 1.214 -102.28 37.4
0 3 2.707 -106.67 40.08
0.21 1 3.003 -105.341 36.699
0.21 2 2.561 -106.781 40.534
0.82 4.123106 1.409 -108.58 39.07
0.34 6.324555 1.976 -109.03 37.82
0.08 3.741657 2.485 -107.167 41.117
-0.09 1.414214 2.379 -107.17 38.47
0.86 3.162278 1.498 -104.65 38.18
-0.66 2.236068 3.024 -107.9667 41.15
0.36 3.605551 3.232 -105.25 37
0.77 3 1.841 -109.48 37.62
-0.06 3.872983 2.471 -106.27 40.73
0.21 3.605551 3.116 -105.122 37.214
-0.27 2 2.705 -106.97 38.87
0.56 4.358899 2.158 -104.87 39.1
0.78 14.03567 2.074 -106.73 36.6
0.3 1.414214 2.396 -105.48 38.13
0.94 1 1.326 -102.97 36.9
0.27 16.55295 2.583 -105.28 36.62
1.08 10.86278 1.51 -108.73 36.77
0.64 9.273618 1.028 -101.38 39.78
0.02 2.236068 2.377 -107.47 40.03
0.09 2.236068 2.901 -105.18 38.75
0.57 2.44949 1.884 -107.58 38.85
0.41 7.549834 1.833 -104.65 41.15
0.47 4.472136 1.982 -106.83 39.67
-0.07 3.316625 3.152 -107.294 40.108
-0.17 2 3.098 -106.953 38.894
0.31 2.645751 2.475 -105.53 37.72
0.71 0 1.611 -105 39.75
0.06 8.124038 1.903 -107.65 41.03
0.57 1.414214 2.135 -105.32 39.63
0.52 2 1.695 -103.7 39.18
0.99 0 1.57 -103.32 37.45
0.15 3.605551 1.61 -108.8 40.08
0.04 13.45362 2.318 -106.13 40.05
0.6 2.236068 1.418 -104.7 40.42
0.37 6.480741 1.903 -107.9 40.03
-0.01 5.196152 2.866 -106.158 39.718
1.08 1.732051 2.156 -109.33 37.87
1.15 6.480741 2.464 -107.65 37.38
1.2 0 2.561 -106.657 36.956
1.1 2 1.806 -108.08 40.52
0.68 0 2.652 -106.969 40.848
1.85 0 1.552 -104.02 37.63
1.23 7.681146 2.332 -107.58 37.37
1.61 10.53565 0.903 -101.53 40.05
0.27 6.403124 3.384 -105.87 39.646
1.55 8.485281 1.115 -101.7 39.37
1.84 9.327379 1.214 -102.28 37.4
0.76 4.795832 2.707 -106.67 40.08
0.95 0 3.003 -105.341 36.699
0.81 1 2.561 -106.781 40.534
1.61 6 1.409 -108.58 39.07
1.16 1.414214 1.976 -109.03 37.82
0.71 1.414214 2.485 -107.167 41.117
0.86 0 2.379 -107.17 38.47
1.69 0 1.498 -104.65 38.18
0.07 6.164414 3.024 -107.9667 41.15
1.01 4.358899 3.232 -105.25 37
1.57 4.690416 1.841 -109.48 37.62
0.68 1 2.471 -106.27 40.73
0.92 0 3.116 -105.122 37.214
0.33 2 2.705 -106.97 38.87
1.2 3.316625 2.158 -104.87 39.1
1.53 7.071068 2.074 -106.73 36.6
1.3 1 2.396 -105.48 38.13
1.85 0 1.326 -102.97 36.9
1.06 10.77033 2.583 -105.28 36.62
1.95 10.24695 1.51 -108.73 36.77
1.5 7.745967 1.028 -101.38 39.78
0.78 0 2.377 -107.47 40.03
0.69 0 2.901 -105.18 38.75
1.44 0 1.884 -107.58 38.85
1.15 10.19804 1.833 -104.65 41.15
1.32 7.681146 1.982 -106.83 39.67
0.58 0 3.152 -107.294 40.108
0.62 1 3.098 -106.953 38.894
1.12 0 2.475 -105.53 37.72
1.47 0 1.611 -105 39.75
0.98 14.03567 1.903 -107.65 41.03
1.32 8.306624 2.135 -105.32 39.63
1.43 0 1.695 -103.7 39.18
1.91 0 1.57 -103.32 37.45
1.13 2.44949 1.61 -108.8 40.08
0.78 12.12436 2.318 -106.13 40.05
1.62 2.236068 1.418 -104.7 40.42
1.17 5.567764 1.903 -107.9 40.03
0.73 2.236068 2.866 -106.158 39.718
1.14 8.485281 2.156 -109.33 37.87
1 3.162278 2.464 -107.65 37.38
1.01 0 2.561 -106.657 36.956
1.18 3.162278 1.806 -108.08 40.52
0.67 2.44949 2.652 -106.969 40.848
1.63 0 1.552 -104.02 37.63
1.04 6.244998 2.332 -107.58 37.37
1.54 10.3923 0.903 -101.53 40.05
0.18 6.244998 3.384 -105.87 39.646
1.42 6.855655 1.115 -101.7 39.37
1.49 9 1.214 -102.28 37.4
0.64 5.385165 2.707 -106.67 40.08
0.84 1 3.003 -105.341 36.699
0.75 0 2.561 -106.781 40.534
1.58 5.477226 1.409 -108.58 39.07
1.28 2 1.976 -109.03 37.82
0.71 2 2.485 -107.167 41.117
1.07 0 2.379 -107.17 38.47
1.56 2.828427 1.498 -104.65 38.18
0.22 5 3.024 -107.9667 41.15
0.83 3.605551 3.232 -105.25 37
1.55 8.83176 1.841 -109.48 37.62
0.73 2.44949 2.471 -106.27 40.73
